,video_id,published_at,year_published,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,thumpnail,video_link,episode_number,title_new,total_like_dislike,like_ratio
79,BGSn4BHHUPM,5/17/2019 4:00,2019,493650,10465,2668,0,3626,The Official Podcast #128: ProJared,https://i.ytimg.com/vi/BGSn4BHHUPM/mqdefault.jpg,https://www.youtube.com/watch?v=BGSn4BHHUPM,128, ProJared,13133,80
80,KoafXGicz4s,5/10/2019 4:00,2019,215207,7172,142,0,580,The Official Podcast #127 With Twomad,https://i.ytimg.com/vi/KoafXGicz4s/mqdefault.jpg,https://www.youtube.com/watch?v=KoafXGicz4s,127,With Twomad,7314,98
81,ShFPOI5u154,5/3/2019 4:00,2019,117105,3184,203,0,777,The Official Podcast #126: The Spoiler Show,https://i.ytimg.com/vi/ShFPOI5u154/mqdefault.jpg,https://www.youtube.com/watch?v=ShFPOI5u154,126, The Spoiler Show,3387,94
82,xXO0r62lZgk,4/26/2019 4:00,2019,98235,2570,67,0,378,The Official Podcast #125 With James Allen McCune,https://i.ytimg.com/vi/xXO0r62lZgk/mqdefault.jpg,https://www.youtube.com/watch?v=xXO0r62lZgk,125,With James Allen McCune,2637,97
83,GqqKZdISVow,4/19/2019 4:00,2019,407963,12965,136,0,873,The Official Podcast #124 With Michael Reeves,https://i.ytimg.com/vi/GqqKZdISVow/mqdefault.jpg,https://www.youtube.com/watch?v=GqqKZdISVow,124,With Michael Reeves,13101,99
84,6fxE8WYfOpw,4/12/2019 4:00,2019,137468,4438,149,0,640,The Official Podcast #123 With ImAlexx,https://i.ytimg.com/vi/6fxE8WYfOpw/mqdefault.jpg,https://www.youtube.com/watch?v=6fxE8WYfOpw,123,With ImAlexx,4587,97
85,QanONiWmraA,4/5/2019 4:00,2019,132750,3712,75,0,336,The Official Podcast #122: The Hype Conductor,https://i.ytimg.com/vi/QanONiWmraA/mqdefault.jpg,https://www.youtube.com/watch?v=QanONiWmraA,122, The Hype Conductor,3787,98
86,uu1ZLwf-STo,3/29/2019 4:00,2019,211517,6167,155,0,597,The Official Podcast #121: The Google Conspiracy,https://i.ytimg.com/vi/uu1ZLwf-STo/mqdefault.jpg,https://www.youtube.com/watch?v=uu1ZLwf-STo,121, The Google Conspiracy,6322,98
87,MY7eA1FwM08,3/22/2019 4:00,2019,377353,14956,150,0,1176,The Official Podcast #120 With CallMeCarson,https://i.ytimg.com/vi/MY7eA1FwM08/mqdefault.jpg,https://www.youtube.com/watch?v=MY7eA1FwM08,120,With CallMeCarson,15106,99
88,MsCQL3bnNg4,3/15/2019 7:28,2019,240629,9920,244,0,1152,The Official Podcast #119 With General Sam,https://i.ytimg.com/vi/MsCQL3bnNg4/mqdefault.jpg,https://www.youtube.com/watch?v=MsCQL3bnNg4,119,With General Sam,10164,98
89,aQYM9B4OoWI,3/8/2019 7:02,2019,141687,3591,73,0,498,The Official Podcast #118: Sweet Dreams (Are Made Of This),https://i.ytimg.com/vi/aQYM9B4OoWI/mqdefault.jpg,https://www.youtube.com/watch?v=aQYM9B4OoWI,118, Sweet Dreams (Are Made Of This),3664,98
90,rSQBVz5yCP4,3/1/2019 5:00,2019,246233,8922,122,0,1308,The Official Podcast #117 With Matt Watson,https://i.ytimg.com/vi/rSQBVz5yCP4/mqdefault.jpg,https://www.youtube.com/watch?v=rSQBVz5yCP4,117,With Matt Watson,9044,99
91,y19a--UwONg,2/22/2019 5:00,2019,115089,3027,57,0,480,The Official Podcast #116: The Golden Oldies,https://i.ytimg.com/vi/y19a--UwONg/mqdefault.jpg,https://www.youtube.com/watch?v=y19a--UwONg,116, The Golden Oldies,3084,98
92,9eHrf8_q9i8,2/15/2019 5:00,2019,135969,5599,99,0,763,The Official Podcast #115 With Quackity,https://i.ytimg.com/vi/9eHrf8_q9i8/mqdefault.jpg,https://www.youtube.com/watch?v=9eHrf8_q9i8,115,With Quackity,5698,98
93,NxpabOieUGc,2/8/2019 5:00,2019,278747,11668,113,0,1687,The Official Podcast #114 With Call Me Kevin,https://i.ytimg.com/vi/NxpabOieUGc/mqdefault.jpg,https://www.youtube.com/watch?v=NxpabOieUGc,114,With Call Me Kevin,11781,99
94,S5Y-B7qIhtA,2/1/2019 5:00,2019,112915,3462,98,0,708,The Official Podcast #113 With ShammyTV,https://i.ytimg.com/vi/S5Y-B7qIhtA/mqdefault.jpg,https://www.youtube.com/watch?v=S5Y-B7qIhtA,113,With ShammyTV,3560,97
